,Year,Week,Home,Away,Score_Home,Score_Away
0,2017,1,Patriots,Chiefs,27,42
1,2017,1,Bears,Falcons,17,23
2,2017,1,Bills,Jets,21,12
3,2017,1,WFT,Eagles,17,30
4,2017,1,Titans,Raiders,16,26
5,2017,1,Texans,Jaguars,7,29
6,2017,1,Lions,Cardinals,35,23
7,2017,1,Browns,Steelers,18,21
8,2017,1,Bengals,Ravens,0,20
9,2017,1,Rams,Colts,46,9
10,2017,1,49ers,Panthers,3,23
11,2017,1,Packers,Seahawks,17,9
12,2017,1,Cowboys,Giants,19,3
13,2017,1,Vikings,Saints,29,19
14,2017,1,Broncos,Chargers,24,21
15,2017,2,Bengals,Texans,9,13
16,2017,2,Panthers,Bills,9,3
17,2017,2,Buccaneers,Bears,29,7
18,2017,2,Ravens,Browns,24,10
19,2017,2,Steelers,Vikings,26,9
20,2017,2,Saints,Patriots,20,36
21,2017,2,Chiefs,Eagles,27,20
22,2017,2,Jaguars,Titans,16,37
23,2017,2,Colts,Cardinals,13,16
24,2017,2,Chargers,Dolphins,17,19
25,2017,2,Raiders,Jets,45,20
26,2017,2,Seahawks,49ers,12,9
27,2017,2,Rams,WFT,20,27
28,2017,2,Broncos,Cowboys,42,17
29,2017,2,Falcons,Packers,34,23
30,2017,2,Giants,Lions,10,24
31,2017,3,49ers,Rams,39,41
32,2017,3,Jaguars,Ravens,44,7
33,2017,3,Panthers,Saints,13,34
34,2017,3,Bills,Broncos,26,16
35,2017,3,Eagles,Giants,27,24
36,2017,3,Jets,Dolphins,20,6
37,2017,3,Patriots,Texans,36,33
38,2017,3,Vikings,Buccaneers,34,17
39,2017,3,Lions,Falcons,26,30
40,2017,3,Colts,Browns,31,28
41,2017,3,Bears,Steelers,23,17
42,2017,3,Titans,Seahawks,33,27
43,2017,3,Chargers,Chiefs,10,24
44,2017,3,Packers,Bengals,27,24
45,2017,3,WFT,Raiders,27,10
46,2017,3,Cardinals,Cowboys,17,28
47,2017,4,Packers,Bears,35,14
48,2017,4,Dolphins,Saints,0,20
49,2017,4,Browns,Bengals,7,31
50,2017,4,Falcons,Bills,17,23
51,2017,4,Ravens,Steelers,9,26
52,2017,4,Jets,Jaguars,23,20
53,2017,4,Patriots,Panthers,30,33
54,2017,4,Vikings,Lions,7,14
55,2017,4,Texans,Titans,57,14
56,2017,4,Cowboys,Rams,30,35
57,2017,4,Buccaneers,Giants,25,23
58,2017,4,Chargers,Eagles,24,26
59,2017,4,Cardinals,49ers,18,15
60,2017,4,Broncos,Raiders,16,10
61,2017,4,Seahawks,Colts,46,18
62,2017,4,Chiefs,WFT,29,20
63,2017,5,Buccaneers,Patriots,14,19
64,2017,5,Browns,Jets,14,17
65,2017,5,Bengals,Bills,20,16
66,2017,5,Steelers,Jaguars,9,30
67,2017,5,Eagles,Cardinals,34,7
68,2017,5,Giants,Chargers,22,27
69,2017,5,Dolphins,Titans,16,10
70,2017,5,Lions,Panthers,24,27
71,2017,5,Colts,49ers,26,23
72,2017,5,Rams,Seahawks,10,16
73,2017,5,Raiders,Ravens,17,30
74,2017,5,Cowboys,Packers,31,35
75,2017,5,Texans,Chiefs,34,42
76,2017,5,Bears,Vikings,17,20
77,2017,6,Panthers,Eagles,23,28
78,2017,6,Falcons,Dolphins,17,20
79,2017,6,WFT,49ers,26,24
80,2017,6,Ravens,Bears,24,27
81,2017,6,Jets,Patriots,17,24
82,2017,6,Saints,Lions,52,38
83,2017,6,Vikings,Packers,23,10
84,2017,6,Texans,Browns,33,17
85,2017,6,Cardinals,Buccaneers,38,33
86,2017,6,Jaguars,Rams,17,27
87,2017,6,Raiders,Chargers,16,17
88,2017,6,Chiefs,Steelers,13,19
89,2017,6,Broncos,Giants,10,23
90,2017,6,Titans,Colts,36,22
91,2017,7,Raiders,Chiefs,31,30
92,2017,7,Bears,Panthers,17,3
93,2017,7,Bills,Buccaneers,30,27
94,2017,7,Rams,Cardinals,33,0
95,2017,7,Vikings,Ravens,24,16
96,2017,7,Dolphins,Jets,31,28
97,2017,7,Packers,Saints,17,26
98,2017,7,Colts,Jaguars,0,27
99,2017,7,Browns,Titans,9,12
100,2017,7,49ers,Cowboys,10,40
101,2017,7,Chargers,Broncos,21,0
102,2017,7,Steelers,Bengals,29,14
103,2017,7,Giants,Seahawks,7,24
104,2017,7,Patriots,Falcons,23,7
105,2017,7,Eagles,WFT,34,24
106,2017,8,Ravens,Dolphins,40,0
107,2017,8,Browns,Vikings,16,33
108,2017,8,Bengals,Colts,24,23
109,2017,8,Bills,Raiders,34,14
110,2017,8,Buccaneers,Panthers,3,17
111,2017,8,Eagles,49ers,33,10
112,2017,8,Jets,Falcons,20,25
113,2017,8,Patriots,Chargers,21,13
114,2017,8,Saints,Bears,20,12
115,2017,8,Seahawks,Texans,41,38
116,2017,8,WFT,Cowboys,19,33
117,2017,8,Lions,Steelers,15,20
118,2017,8,Chiefs,Broncos,29,19
119,2017,9,Jets,Bills,34,21
