,Year,Week,Home,Away,Win,Home_Score,Away_Score
0,2021,1,Buccaneers,Cowboys,1.0,31,29
1,2021,1,Bills,Steelers,0.0,16,23
2,2021,1,Falcons,Eagles,0.0,6,32
3,2021,1,Team,Chargers,0.0,16,20
4,2021,1,Titans,Cardinals,0.0,13,38
5,2021,1,Texans,Jaguars,1.0,37,21
6,2021,1,Lions,49ers,0.0,33,41
7,2021,1,Colts,Seahawks,0.0,16,28
8,2021,1,Bengals,Vikings,1.0,27,24
9,2021,1,Panthers,Jets,1.0,19,14
10,2021,1,Giants,Broncos,0.0,13,27
11,2021,1,Patriots,Dolphins,0.0,16,17
12,2021,1,Saints,Packers,1.0,38,3
13,2021,1,Chiefs,Browns,1.0,33,29
14,2021,1,Rams,Bears,1.0,34,14
15,2021,1,Raiders,Ravens,1.0,33,27
16,2021,2,Team,Giants,1.0,30,29
17,2021,2,Bears,Bengals,1.0,20,17
18,2021,2,Panthers,Saints,1.0,26,7
19,2021,2,Steelers,Raiders,0.0,17,26
20,2021,2,Eagles,49ers,0.0,11,17
21,2021,2,Jets,Patriots,0.0,6,25
22,2021,2,Dolphins,Bills,0.0,0,35
23,2021,2,Jaguars,Broncos,0.0,13,23
24,2021,2,Colts,Rams,0.0,24,27
25,2021,2,Browns,Texans,1.0,31,21
26,2021,2,Buccaneers,Falcons,1.0,48,25
27,2021,2,Cardinals,Vikings,1.0,34,33
28,2021,2,Seahawks,Titans,0.0,30,33
29,2021,2,Chargers,Cowboys,0.0,17,20
30,2021,2,Ravens,Chiefs,1.0,36,35
31,2021,2,Packers,Lions,1.0,35,17
32,2021,3,Texans,Panthers,0.0,9,24
33,2021,3,Browns,Bears,1.0,26,6
34,2021,3,Bills,Team,1.0,43,21
35,2021,3,Steelers,Bengals,0.0,10,24
36,2021,3,Titans,Colts,1.0,25,16
37,2021,3,Giants,Falcons,0.0,14,17
38,2021,3,Patriots,Saints,0.0,13,28
39,2021,3,Chiefs,Chargers,0.0,24,30
40,2021,3,Jaguars,Cardinals,0.0,19,31
41,2021,3,Lions,Ravens,0.0,17,19
42,2021,3,Raiders,Dolphins,1.0,31,28
43,2021,3,Broncos,Jets,1.0,26,0
44,2021,3,Rams,Buccaneers,1.0,34,24
45,2021,3,Vikings,Seahawks,1.0,30,17
46,2021,3,49ers,Packers,0.0,28,30
47,2021,3,Cowboys,Eagles,1.0,41,21
48,2021,4,Bengals,Jaguars,1.0,24,21
49,2021,4,Bills,Texans,1.0,40,0
50,2021,4,Falcons,Team,0.0,30,34
51,2021,4,Eagles,Chiefs,0.0,30,42
52,2021,4,Jets,Titans,1.0,27,24
53,2021,4,Saints,Giants,0.0,21,27
54,2021,4,Vikings,Browns,0.0,7,14
55,2021,4,Dolphins,Colts,0.0,17,27
56,2021,4,Cowboys,Panthers,1.0,36,28
57,2021,4,Bears,Lions,1.0,24,14
58,2021,4,49ers,Seahawks,0.0,21,28
59,2021,4,Rams,Cardinals,0.0,20,37
60,2021,4,Packers,Steelers,1.0,27,17
61,2021,4,Broncos,Ravens,0.0,7,23
62,2021,4,Patriots,Buccaneers,0.0,17,19
63,2021,4,Chargers,Raiders,1.0,28,14
64,2021,5,Seahawks,Rams,0.0,17,26
65,2021,5,Falcons,Jets,1.0,27,20
66,2021,5,Panthers,Eagles,0.0,18,21
67,2021,5,Team,Saints,0.0,22,33
68,2021,5,Buccaneers,Dolphins,1.0,45,17
69,2021,5,Steelers,Broncos,1.0,27,19
