,Year,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP
0,2021,Tampa Bay Buccaneers,13,385,563,68.4,4084,36,6.4,10,1.8,62,7.5,7.9,10.9,314.2,104.1,17,117,2.9,7.0,7.5,2,4,157.17
1,2021,Las Vegas Raiders,13,339,496,68.3,3742,18,3.6,10,2.0,61,7.9,7.7,11.6,287.8,95.7,31,184,5.9,7.1,6.9,1,3,97.20
2,2021,Los Angeles Rams,13,317,474,66.9,3735,33,7.0,10,2.1,79,8.2,8.7,12.3,287.3,106.6,21,170,4.2,7.5,8.0,2,2,154.47
3,2021,Dallas Cowboys,13,339,501,67.7,3648,26,5.2,11,2.2,73,7.6,7.6,11.2,280.6,98.1,25,136,4.8,6.9,7.0,2,3,91.61
4,2021,Los Angeles Chargers,13,338,505,66.9,3644,30,5.9,11,2.2,72,7.6,7.8,11.3,280.3,100.1,27,178,5.1,6.8,7.0,5,5,115.92
5,2021,Kansas City Chiefs,13,341,519,65.7,3613,27,5.2,12,2.3,75,7.2,7.2,11.0,277.9,94.6,24,127,4.4,6.7,6.7,2,2,128.30
6,2021,Minnesota Vikings,13,321,481,66.7,3476,27,5.6,5,1.0,64,7.5,8.1,11.2,267.4,103.3,18,128,3.6,7.0,7.6,2,3,128.11
7,2021,Buffalo Bills,13,330,502,65.7,3405,28,5.6,12,2.4,61,7.1,7.1,10.8,261.9,95.0,22,147,4.2,6.5,6.5,,,92.97
8,2021,Green Bay Packers,13,300,451,66.5,3300,28,6.2,5,1.1,75,7.7,8.5,11.6,253.8,105.7,26,177,5.5,6.9,7.6,1,2,130.75
9,2021,Arizona Cardinals,13,304,420,72.4,3279,22,5.2,10,2.4,77,8.4,8.4,11.6,252.2,105.0,31,256,6.9,7.3,7.2,1,1,135.68
10,2021,Cincinnati Bengals,13,287,418,68.7,3251,26,6.2,14,3.3,82,8.5,8.2,12.3,250.1,101.4,41,291,8.9,7.1,6.8,1,2,76.82
11,2021,Baltimore Ravens,13,304,467,65.1,3161,17,3.6,14,3.0,49,7.3,6.7,11.2,243.2,86.4,47,249,9.1,6.1,5.6,5,5,31.76
12,2021,Pittsburgh Steelers,13,327,506,64.6,3128,20,4.0,8,1.6,59,6.5,6.6,10.1,240.6,89.8,30,180,5.6,5.8,5.9,4,5,35.64
13,2021,San Francisco 49ers,13,259,399,64.9,3125,20,5.0,9,2.3,83,8.2,8.2,12.7,240.4,97.9,27,166,6.3,7.3,7.3,2,2,93.00
14,2021,New York Jets,13,304,504,60.3,3086,17,3.4,20,4.0,62,6.7,5.6,11.1,237.4,74.9,36,280,6.7,5.7,4.7,2,2,-12.79
15,2021,Miami Dolphins,13,336,501,67.1,2997,17,3.4,10,2.0,65,6.4,6.2,9.6,230.5,87.8,31,231,5.8,5.6,5.4,0,1,42.24
16,2021,Atlanta Falcons,13,307,461,66.6,2929,17,3.7,14,3.0,64,6.8,6.1,10.2,225.3,85.4,26,194,5.3,6.0,5.4,3,3,38.12
17,2021,New England Patriots,13,279,394,70.8,2899,18,4.6,8,2.0,75,7.9,7.9,11.1,223.0,100.7,24,204,5.7,6.9,6.9,1,1,78.92
18,2021,Denver Broncos,13,289,432,66.9,2885,18,4.2,9,2.1,64,7.2,7.1,10.7,221.9,92.9,33,208,7.1,6.2,6.1,0,1,80.52
19,2021,New York Giants,13,290,471,61.6,2833,13,2.8,11,2.3,60,6.4,5.9,10.5,217.9,79.7,28,204,5.6,5.7,5.2,1,1,1.23
20,2021,Indianapolis Colts,13,268,425,63.1,2813,22,5.2,6,1.4,76,7.0,7.4,11.1,216.4,95.2,22,160,4.9,6.3,6.7,,,84.76
21,2021,Washington Football Team,13,285,433,65.8,2778,19,4.4,12,2.8,73,6.9,6.6,10.5,213.7,88.9,30,219,6.5,6.0,5.7,3,4,37.40
22,2021,Tennessee Titans,13,278,423,65.7,2722,15,3.5,13,3.1,57,7.0,6.4,10.7,209.4,85.2,37,254,8.0,5.9,5.3,3,3,35.24
23,2021,Seattle Seahawks,13,256,382,67.0,2676,21,5.5,5,1.3,84,7.9,8.4,11.7,205.8,103.6,39,328,9.3,6.4,6.8,,,46.30
24,2021,Cleveland Browns,13,246,392,62.8,2674,14,3.6,7,1.8,71,7.4,7.3,11.7,205.7,89.6,34,215,8.0,6.3,6.2,,,26.59
25,2021,Carolina Panthers,13,262,447,58.6,2612,11,2.5,17,3.8,64,6.3,5.1,10.7,200.9,69.5,32,203,6.7,5.5,4.3,,,-37.38
26,2021,Detroit Lions,13,306,463,66.1,2611,14,3.0,10,2.2,63,6.2,5.9,9.4,200.8,84.2,33,274,6.7,5.3,4.9,1,1,-17.77
27,2021,Jacksonville Jaguars,13,273,468,58.3,2605,9,1.9,14,3.0,58,5.9,5.0,10.1,200.4,69.3,25,163,5.1,5.3,4.4,1,2,-19.98
28,2021,New Orleans Saints,13,235,405,58.0,2573,25,6.2,11,2.7,72,6.8,6.8,11.7,197.9,88.0,24,175,5.6,6.0,6.0,1,2,23.18
29,2021,Philadelphia Eagles,13,233,379,61.5,2551,15,4.0,8,2.1,91,7.1,6.9,11.5,196.2,87.3,23,137,5.7,6.3,6.2,1,1,42.74
30,2021,Houston Texans,13,270,424,63.7,2426,13,3.1,13,3.1,67,6.4,5.6,10.0,186.6,79.2,37,277,8.0,5.3,4.6,,,-44.30
31,2021,Chicago Bears,13,231,384,60.2,2295,12,3.1,16,4.2,64,6.8,5.5,11.3,176.5,73.5,42,307,9.9,5.4,4.3,1,1,-38.98
