,Year,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,PD,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,QBHits,TFL,Sk%,NY/A,ANY/A,EXP
0,2021,Carolina Panthers,13,254,383,66.3,2310,18,4.7,8,44,2.1,6.7,6.7,10.1,177.7,92.3,32,259,78,65,7.7,5.6,5.6,-6.16
1,2021,Buffalo Bills,13,245,417,58.8,2334,10,2.4,16,60,3.8,5.9,4.7,10.0,179.5,67.7,23,128,63,65,5.2,5.3,4.1,23.18
2,2021,New England Patriots,13,252,430,58.6,2542,15,3.5,19,72,4.4,6.4,5.1,11.0,195.5,70.9,32,222,77,50,6.9,5.5,4.3,32.78
3,2021,Los Angeles Chargers,13,265,420,63.1,2695,19,4.5,10,45,2.4,6.9,6.7,10.9,207.3,88.5,29,197,74,46,6.5,6.0,5.8,-45.01
4,2021,Arizona Cardinals,13,288,442,65.2,2728,19,4.3,12,58,2.7,6.6,6.3,10.2,209.8,87.1,35,208,75,56,7.3,5.7,5.4,22.41
5,2021,San Francisco 49ers,13,289,419,69.0,2772,19,4.5,6,42,1.4,7.2,7.5,10.5,213.2,98.8,33,256,63,73,7.3,6.1,6.4,-65.50
6,2021,Cleveland Browns,13,279,429,65.0,2795,23,5.4,11,58,2.6,7.0,6.9,10.8,215.0,92.7,35,220,86,61,7.5,6.0,5.9,-58.63
7,2021,Chicago Bears,13,268,393,68.2,2814,24,6.1,5,38,1.3,7.8,8.5,11.5,216.5,106.6,36,267,57,58,8.4,6.6,7.2,-95.48
8,2021,Green Bay Packers,13,284,456,62.3,2840,23,5.0,14,59,3.1,6.7,6.4,10.8,218.5,86.1,30,237,78,36,6.2,5.8,5.5,-29.34
9,2021,Denver Broncos,13,257,440,58.4,2842,16,3.6,12,61,2.7,6.9,6.4,11.8,218.6,80.3,30,194,64,54,6.4,6.0,5.6,-17.85
10,2021,Philadelphia Eagles,13,317,450,70.4,2952,22,4.9,9,35,2.0,6.9,7.0,9.8,227.1,97.6,21,160,64,53,4.5,6.3,6.3,-67.09
11,2021,Indianapolis Colts,13,290,445,65.2,2993,26,5.8,15,54,3.4,7.1,6.8,11.0,230.2,91.6,29,188,71,47,6.1,6.3,6.0,-46.35
12,2021,Las Vegas Raiders,13,315,463,68.0,3007,24,5.2,5,50,1.1,6.8,7.4,10.0,231.3,100.0,29,158,90,48,5.9,6.1,6.6,-122.26
13,2021,Pittsburgh Steelers,13,277,431,64.3,3014,19,4.4,8,58,1.9,7.5,7.6,11.7,231.8,93.9,37,226,77,72,7.9,6.4,6.5,-47.06
14,2021,Houston Texans,13,275,418,65.8,3078,20,4.8,14,48,3.3,7.8,7.2,11.9,236.8,91.4,26,182,55,65,5.9,6.9,6.4,-82.72
15,2021,Jacksonville Jaguars,13,302,428,70.6,3140,17,4.0,5,31,1.2,7.8,8.0,11.0,241.5,101.6,24,185,68,51,5.3,6.9,7.2,-119.08
16,2021,Detroit Lions,13,268,406,66.0,3172,22,5.4,8,51,2.0,8.2,8.4,12.4,244.0,101.1,20,153,46,46,4.7,7.4,7.6,-141.45
17,2021,New Orleans Saints,13,287,459,62.5,3179,18,3.9,14,65,3.1,7.3,6.8,11.7,244.5,85.2,29,192,84,67,5.9,6.5,6.0,-25.66
18,2021,New York Giants,13,330,491,67.2,3181,23,4.7,13,63,2.6,6.8,6.5,10.1,244.7,91.0,25,154,56,41,4.8,6.2,5.9,-64.03
19,2021,Los Angeles Rams,13,328,491,66.8,3204,14,2.9,14,53,2.9,7.1,6.4,10.6,246.5,84.8,36,264,72,59,6.8,6.1,5.4,-53.44
