Year,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
2017,Jacksonville Jaguars,16,527,2262,18,90,4.3,141.4,24,-67.81
2017,Dallas Cowboys,16,480,2170,18,70,4.5,135.6,11,-19.89
2017,Philadelphia Eagles,16,473,2115,9,71,4.5,132.2,25,-109.1
2017,Carolina Panthers,16,490,2102,15,69,4.3,131.4,19,-94.78
2017,New Orleans Saints,16,444,2070,23,74,4.7,129.4,19,-71.76
2017,Buffalo Bills,16,487,2017,12,48,4.1,126.1,17,-88.93
2017,Minnesota Vikings,16,501,1957,15,58,3.9,122.3,11,-133.79
2017,Los Angeles Rams,16,454,1953,17,57,4.3,122.1,29,-77.03
2017,Kansas City Chiefs,16,405,1903,12,70,4.7,118.9,14,-45.07
2017,New England Patriots,16,448,1889,16,44,4.2,118.1,13,-87.22
2017,Baltimore Ravens,16,460,1856,14,50,4,116,19,-49.38
2017,Denver Broncos,16,457,1852,8,40,4.1,115.8,26,-59.3
2017,Atlanta Falcons,16,430,1847,12,52,4.3,115.4,17,-96.37
2017,Houston Texans,16,448,1842,8,49,4.1,115.1,25,-41.89
2017,Tennessee Titans,16,443,1833,18,75,4.1,114.6,10,-65.47
2017,Chicago Bears,16,422,1788,13,53,4.2,111.8,24,-35
2017,Green Bay Packers,16,386,1724,13,46,4.5,107.8,14,5.45
2017,Cleveland Browns,16,384,1714,11,59,4.5,107.1,25,-44.66
2017,New York Jets,16,427,1702,13,75,4,106.4,25,-100.3
2017,Pittsburgh Steelers,16,437,1667,12,29,3.8,104.2,15,-116.88
2017,San Francisco 49ers,16,408,1662,15,61,4.1,103.9,14,-88.47
2017,Indianapolis Colts,16,451,1661,11,35,3.7,103.8,20,-87.6
2017,Seattle Seahawks,16,409,1629,4,33,4,101.8,18,-78.07
2017,Los Angeles Chargers,16,419,1595,10,87,3.8,99.7,17,-93.07
2017,Oakland Raiders,16,370,1554,13,52,4.2,97.1,33,-49.13
2017,New York Giants,16,394,1549,6,75,3.9,96.8,20,-70.19
2017,Tampa Bay Buccaneers,16,390,1448,8,36,3.7,90.5,27,-82.91
2017,Washington Redskins,16,401,1448,10,61,3.6,90.5,28,-97.98
2017,Miami Dolphins,16,360,1388,4,69,3.9,86.8,23,-93.59
2017,Arizona Cardinals,16,410,1386,6,33,3.4,86.6,19,-109.56
2017,Cincinnati Bengals,16,377,1366,6,25,3.6,85.4,22,-79.97
2017,Detroit Lions,16,363,1221,10,34,3.4,76.3,21,-105.35
2018,Seattle Seahawks,16,534,2560,15,61,4.8,160,18,18.93
