Year,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
2021,Cleveland Browns,8,250,1289,14,52,5.2,161.1,9,37.33
2021,Indianapolis Colts,9,242,1236,11,83,5.1,137.3,12,29.26
2021,Tennessee Titans,8,260,1181,13,76,4.5,147.6,6,28.5
2021,Chicago Bears,8,240,1093,8,41,4.6,136.6,12,14.85
2021,Dallas Cowboys,7,218,1064,6,47,4.9,152,11,6.4
2021,Philadelphia Eagles,8,210,1053,12,27,5,131.6,10,28.67
2021,Baltimore Ravens,7,214,1046,10,35,4.9,149.4,10,15.36
2021,Arizona Cardinals,8,245,1030,12,54,4.2,128.8,15,10.65
2021,Washington Football Team,8,207,945,5,38,4.6,118.1,12,1.73
2021,Kansas City Chiefs,8,194,934,6,24,4.8,116.8,14,5.24
2021,Carolina Panthers,8,234,916,9,30,3.9,114.5,7,7.48
2021,Buffalo Bills,7,202,886,8,46,4.4,126.6,12,6.54
2021,New Orleans Saints,7,219,875,6,23,4,125,4,2.04
2021,Minnesota Vikings,7,194,868,2,48,4.5,124,10,-17.52
2021,San Francisco 49ers,7,194,866,10,39,4.5,123.7,10,-4.51
2021,Green Bay Packers,8,206,865,5,57,4.2,108.1,7,-1.27
2021,Los Angeles Rams,8,212,833,7,29,3.9,104.1,6,-22.06
2021,Denver Broncos,8,188,829,4,70,4.4,103.6,4,-8.41
2021,Seattle Seahawks,8,196,823,7,33,4.2,102.9,7,2.68
2021,Jacksonville Jaguars,7,160,813,7,58,5.1,116.1,8,8.18
2021,New England Patriots,8,207,810,10,35,3.9,101.3,9,-5.53
2021,Cincinnati Bengals,8,202,789,6,46,3.9,98.6,4,-18.25
2021,Tampa Bay Buccaneers,8,179,765,7,24,4.3,95.6,9,12.68
2021,Detroit Lions,8,183,745,6,28,4.1,93.1,9,-5.62
2021,Los Angeles Chargers,7,159,731,6,75,4.6,104.4,5,12.52
2021,New York Giants,8,189,714,7,46,3.8,89.3,12,-17.8
2021,Miami Dolphins,8,167,629,4,24,3.8,78.6,12,-7.71
2021,New York Jets,8,169,617,5,19,3.7,77.1,8,-0.27
2021,Houston Texans,8,186,609,4,35,3.3,76.1,12,-36.64
2021,Atlanta Falcons,7,165,609,3,18,3.7,87,9,-24.04
2021,Pittsburgh Steelers,7,163,602,5,25,3.7,86,7,-8.93
2021,Las Vegas Raiders,7,173,598,8,31,3.5,85.4,8,-27.25
