Year,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
2017,Philadelphia Eagles,16,337,1267,7,3.8,79.2,66.06
2017,Minnesota Vikings,16,364,1337,10,3.7,83.6,73.8
2017,Carolina Panthers,16,353,1409,7,4,88.1,90.65
2017,Tennessee Titans,16,398,1420,5,3.6,88.8,128.52
2017,Denver Broncos,16,428,1430,9,3.3,89.4,145.96
2017,Arizona Cardinals,16,407,1432,12,3.5,89.5,81.9
2017,Cleveland Browns,16,467,1566,14,3.4,97.9,87
2017,Dallas Cowboys,16,403,1664,7,4.1,104,39.19
2017,Atlanta Falcons,16,402,1665,9,4.1,104.1,82.21
2017,Pittsburgh Steelers,16,385,1693,14,4.4,105.8,8.03
2017,Chicago Bears,16,432,1730,10,4,108.1,107.06
2017,Oakland Raiders,16,433,1743,11,4,108.9,94.32
2017,Houston Texans,16,440,1747,14,4,109.2,94.34
2017,Miami Dolphins,16,431,1768,14,4.1,110.5,85.95
2017,Baltimore Ravens,16,435,1780,12,4.1,111.3,63.07
2017,New Orleans Saints,16,406,1787,11,4.4,111.7,47
2017,Green Bay Packers,16,464,1793,10,3.9,112.1,93.66
2017,Detroit Lions,16,432,1800,18,4.2,112.5,96.43
2017,Seattle Seahawks,16,452,1824,14,4,114,72.54
2017,New England Patriots,16,390,1836,6,4.7,114.8,54.88
2017,Jacksonville Jaguars,16,429,1860,9,4.3,116.3,130.3
2017,San Francisco 49ers,16,491,1861,13,3.8,116.3,84.71
2017,Tampa Bay Buccaneers,16,440,1880,17,4.3,117.5,100.61
2017,New York Jets,16,466,1887,13,4,117.9,99.76
2017,Kansas City Chiefs,16,443,1890,15,4.3,118.1,56.69
2017,Indianapolis Colts,16,488,1927,15,3.9,120.4,60.39
2017,New York Giants,16,464,1933,10,4.2,120.8,108.57
2017,Los Angeles Rams,16,418,1957,15,4.7,122.3,27.15
2017,Buffalo Bills,16,466,1994,22,4.3,124.6,38.72
