,Year,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
0,2021,Baltimore Ravens,13,282,1111,10,3.9,85.5,27.82
1,2021,Tennessee Titans,13,293,1182,12,4.0,90.9,-0.94
2,2021,Tampa Bay Buccaneers,13,268,1185,9,4.4,91.2,-14.55
3,2021,Cincinnati Bengals,13,293,1210,11,4.1,93.1,9.84
4,2021,Washington Football Team,13,302,1217,9,4.0,93.6,8.43
5,2021,New Orleans Saints,13,337,1235,10,3.7,95.0,26.46
6,2021,Los Angeles Rams,13,339,1308,15,3.9,100.6,6.81
7,2021,Miami Dolphins,13,311,1350,10,4.3,103.8,6.13
8,2021,Green Bay Packers,13,307,1367,9,4.5,105.2,-15.99
9,2021,Denver Broncos,13,311,1380,7,4.4,106.2,-0.37
10,2021,Cleveland Browns,13,339,1381,12,4.1,106.2,-6.78
11,2021,Buffalo Bills,13,347,1422,14,4.1,109.4,21.85
12,2021,Philadelphia Eagles,13,356,1422,13,4.0,109.4,10.40
13,2021,Kansas City Chiefs,13,308,1426,10,4.6,109.7,-17.05
14,2021,Dallas Cowboys,13,320,1433,12,4.5,110.2,-4.64
15,2021,Arizona Cardinals,13,312,1453,8,4.7,111.8,-1.05
16,2021,Indianapolis Colts,13,322,1454,8,4.5,111.8,5.36
17,2021,San Francisco 49ers,13,338,1458,16,4.3,112.2,-0.43
18,2021,New England Patriots,13,337,1488,6,4.4,114.5,17.22
19,2021,Carolina Panthers,13,368,1499,11,4.1,115.3,12.61
20,2021,Jacksonville Jaguars,13,377,1504,17,4.0,115.7,-9.03
21,2021,Seattle Seahawks,13,400,1508,11,3.8,116.0,19.30
22,2021,Atlanta Falcons,13,364,1522,12,4.2,117.1,-7.85
23,2021,Chicago Bears,13,364,1560,13,4.3,120.0,-4.21
24,2021,New York Giants,13,368,1625,10,4.4,125.0,-9.54
25,2021,Las Vegas Raiders,13,375,1629,14,4.3,125.3,1.60
26,2021,Minnesota Vikings,13,357,1684,12,4.7,129.5,-36.37
27,2021,Detroit Lions,13,411,1757,15,4.3,135.2,-2.65
28,2021,New York Jets,13,398,1804,24,4.5,138.8,-12.33
29,2021,Pittsburgh Steelers,13,365,1813,14,5.0,139.5,-28.23
30,2021,Los Angeles Chargers,13,392,1829,18,4.7,140.7,-36.86
31,2021,Houston Texans,13,408,1923,22,4.7,147.9,-34.42
