,feature,importance
0,Att_rush_d_Away,0.09695495
1,ANY/A_pass_o_Away,0.052870538
2,Rate_pass_d,0.044026982
3,Att_rush_d,0.039189804
4,Cmp%_pass_o_Away,0.030123016
5,Cmp%_pass_d,0.027458934
6,Sk_pass_o,0.025308525
7,Sk%_pass_o,0.024126768
8,Yds_pass_d_Away,0.023565557
9,Rate_pass_d_Away,0.022906799
10,Att_pass_o,0.021522254
11,TD_pass_d,0.021005237
12,Y/A_rush_o,0.019186376
13,Sk_pass_d,0.01847415
14,PD_pass_d,0.01717968
15,Cmp%_pass_d_Away,0.016658928
16,Cmp%_pass_o,0.0164166
17,GWD_pass_o,0.015886854
18,Yds_rush_d_Away,0.015325435
19,Int_pass_o,0.0150907235
20,PD_pass_d_Away,0.014713144
21,Rate_pass_o_Away,0.013574466
22,Sk%_pass_d,0.013425688
23,EXP_pass_d_Away,0.013395795
24,EXP_pass_o_Away,0.01322147
25,Int%_pass_o_Away,0.013202697
26,ANY/A_pass_d_Away,0.013015352
27,Cmp_pass_d_Away,0.012649031
28,Week,0.012555414
29,Streak_Home,0.012339097
30,TD_rush_o_Away,0.011983139
31,Yds_rush_o_Away,0.0117632365
32,TD%_pass_o_Away,0.011762532
33,EXP_rush_d_Away,0.011107323
34,Int%_pass_d,0.010919916
35,TD%_pass_o,0.010805286
36,Yds.1_pass_d,0.010572163
37,Y/A_pass_d_Away,0.010557746
38,Int_pass_d,0.009903607
39,Lng_rush_o_Away,0.009673133
40,Att_rush_o_Away,0.009549123
41,Yds_rush_o,0.009503097
42,TD_rush_d,0.0088888705
43,Y/C_pass_o_Away,0.008638481
44,TD%_pass_d_Away,0.008570474
45,EXP_rush_o_Away,0.008418757
46,Att_rush_o,0.008201568
47,Att_pass_d_Away,0.008153185
48,Cmp_pass_d,0.008150266
49,EXP_pass_o,0.008035257
50,TD_pass_o_Away,0.0076743397
51,GWD_pass_o_Away,0.0074981865
52,Y/C_pass_o,0.0074919267
53,TD%_pass_d,0.007373013
54,AY/A_pass_o_Away,0.007256154
55,QBHits_pass_d,0.0072557935
56,Streak_Away,0.0068324963
57,QBHits_pass_d_Away,0.0066237063
58,Sk_pass_o_Away,0.0064031244
59,Att_pass_d,0.00595788
60,Cmp_pass_o_Away,0.005564028
61,EXP_rush_o,0.0054550082
62,Lng_rush_o,0.0050565084
63,Sk_pass_d_Away,0.0047744624
64,Yds.1_pass_d_Away,0.0042592604
65,EXP_rush_d,0.0039470233
66,TD_rush_d_Away,0.0035358039
67,AY/A_pass_d_Away,0.0035168752
68,Yds_pass_d,0.002830496
69,Yds_pass_o,0.00016643116
70,Sk%_pass_d_Away,0.0
71,Y/G_rush_d_Away,0.0
72,Y/A_rush_d_Away,0.0
73,G_rush_o_Away,0.0
74,Int%_pass_d_Away,0.0
75,G_rush_d_Away,0.0
76,Y/C_pass_d_Away,0.0
77,Y/A_rush_o_Away,0.0
78,Y/G_rush_o_Away,0.0
79,NY/A_pass_d_Away,0.0
80,TD_pass_d_Away,0.0
81,TFL_pass_d_Away,0.0
82,Int_pass_d_Away,0.0
83,G_pass_d_Away,0.0
84,Y/G_pass_d_Away,0.0
85,Fmb_rush_o_Away,0.0
86,Year,0.0
87,4QC_pass_o_Away,0.0
88,Y/A_pass_d,0.0
89,Fmb_rush_o,0.0
90,Y/G_rush_o,0.0
91,TD_rush_o,0.0
92,G_rush_o,0.0
93,4QC_pass_o,0.0
94,ANY/A_pass_o,0.0
95,NY/A_pass_o,0.0
96,Yds.1_pass_o,0.0
97,Rate_pass_o,0.0
98,Y/G_pass_o,0.0
99,AY/A_pass_o,0.0
100,Y/A_pass_o,0.0
101,Lng_pass_o,0.0
102,Int%_pass_o,0.0
103,TD_pass_o,0.0
104,Cmp_pass_o,0.0
105,G_pass_o,0.0
106,G_pass_d,0.0
107,AY/A_pass_d,0.0
108,Sk%_pass_o_Away,0.0
109,Y/C_pass_d,0.0
110,NY/A_pass_o_Away,0.0
111,Yds.1_pass_o_Away,0.0
112,Y/G_pass_o_Away,0.0
113,Y/A_pass_o_Away,0.0
114,Lng_pass_o_Away,0.0
115,Int_pass_o_Away,0.0
116,Yds_pass_o_Away,0.0
117,Att_pass_o_Away,0.0
118,Y/G_rush_d,0.0
119,Y/A_rush_d,0.0
120,Yds_rush_d,0.0
121,G_rush_d,0.0
122,EXP_pass_d,0.0
123,ANY/A_pass_d,0.0
124,NY/A_pass_d,0.0
125,TFL_pass_d,0.0
126,Y/G_pass_d,0.0
127,G_pass_o_Away,0.0
